Year	United States	Russian Federation	United Kingdom	France	China	Total
1945	6	0	0	0	0	6
1946	11	0	0	0	0	11
1947	32	0	0	0	0	32
1948	110	0	0	0	0	110
1949	235	1	0	0	0	236
1950	369	5	0	0	0	374
1951	640	25	0	0	0	665
1952	1005	50	0	0	0	1055
1953	1436	120	1	0	0	1557
1954	2063	150	5	0	0	2218
1955	3057	200	10	0	0	3267
1956	4618	426	15	0	0	5059
1957	6444	660	20	0	0	7124
1958	9822	869	22	0	0	10713
1959	15468	1060	25	0	0	16553
1960	20434	1605	30	0	0	22069
1961	24111	2471	50	0	0	26632
1962	27297	3322	205	0	0	30823
1963	29249	4238	280	0	0	33767
1964	30751	5221	310	4	1	36287
1965	31642	6129	310	32	5	38118
1966	31700	7089	270	36	20	39105
1967	30893	8339	270	36	25	39563
1968	28884	9399	280	36	35	38633
1969	26910	10538	308	36	50	37841
1970	26119	11643	280	36	75	38153
1971	26365	13092	220	45	100	39822
1972	27296	14478	220	70	130	42193
1973	28335	15915	275	116	150	44791
1974	28170	17385	325	145	170	46195
1975	27052	19055	350	188	185	46830
1976	25956	21205	350	212	190	47913
1977	25099	23044	350	228	200	48920
1978	24243	25393	350	235	220	50441
1979	24107	27935	350	235	235	52862
1980	23764	30062	350	250	280	54706
1981	23031	32049	350	275	330	56035
1982	22937	33952	335	275	360	57859
1983	23154	35804	320	280	380	59938
1984	23228	37431	270	280	415	61623
1985	23135	39197	300	360	425	63416
1986	23254	40723	300	355	425	65056
1987	23490	38859	300	420	415	63484
1988	23077	37333	300	410	430	61549
1989	22174	35805	300	410	435	59124
1990	21211	33417	300	505	430	55863
1991	18306	28595	300	540	435	48176
1992	13731	25155	300	540	435	40161
1993	11536	21101	300	525	435	33897
1994	11012	18399	250	510	450	30621
1995	10953	14978	300	500	400	27131
1996	10886	12085	300	450	400	24121
1997	10829	11264	260	450	400	23203
1998	10763	10764	260	450	400	22637
1999	10698	10451	185	450	400	22184
2000	10615	10201	185	450	400	21851
2001	10491	9126	200	350	400	20567
2002	10640	8600	200	350	400	20190
2005	10295	8500	200	350	400	28245
2013	7700	8500	225	300	250	17270